PaymentMethod_Electronic_check,tenure_group_61_72,Dependents_Yes,TechSupport_Yes,InternetService_No,MonthlyCharges,StreamingTV_No_internet_service,StreamingMovies_No_internet_service,Contract_One_year,PaperlessBilling_Yes,OnlineBackup_No_internet_service,DeviceProtection_No_internet_service,TotalCharges,InternetService_Fiber_optic,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,Contract_Two_year,TechSupport_No_internet_service
0.0,1.0,1.0,1.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,7251.7,1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,69.7,0.0,0.0,0.0,1.0,0.0,0.0,316.9,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,74.8,0.0,0.0,0.0,1.0,0.0,0.0,3548.3,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,106.35,0.0,0.0,0.0,1.0,0.0,0.0,3549.25,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,97.85,0.0,0.0,0.0,1.0,0.0,0.0,1105.4,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,49.55,0.0,0.0,1.0,0.0,0.0,0.0,475.7,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,69.2,0.0,0.0,0.0,1.0,0.0,0.0,4872.35,0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,20.75,1.0,1.0,1.0,0.0,1.0,1.0,418.25,0.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,79.85,0.0,0.0,0.0,1.0,0.0,0.0,4861.45,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,76.2,0.0,0.0,0.0,1.0,0.0,0.0,981.45,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,84.5,0.0,0.0,0.0,1.0,0.0,0.0,3906.7,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,49.25,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,80.65,0.0,0.0,0.0,1.0,0.0,0.0,144.15,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,79.75,0.0,0.0,0.0,1.0,0.0,0.0,4217.8,0.0,0.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0,64.15,0.0,0.0,0.0,1.0,0.0,0.0,4254.1,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,90.25,0.0,0.0,0.0,1.0,0.0,0.0,3838.75,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,99.1,0.0,0.0,0.0,1.0,0.0,0.0,1426.4,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,69.5,0.0,0.0,0.0,1.0,0.0,0.0,1752.65,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,80.65,0.0,0.0,0.0,1.0,0.0,0.0,633.3,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,74.85,0.0,0.0,1.0,1.0,0.0,0.0,4456.35,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,95.45,0.0,0.0,0.0,1.0,0.0,0.0,1752.55,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,99.65,0.0,0.0,1.0,1.0,0.0,0.0,6311.2,1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,108.45,0.0,0.0,1.0,1.0,0.0,0.0,7076.35,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,24.95,1.0,1.0,0.0,0.0,1.0,1.0,894.3,0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,107.5,0.0,0.0,0.0,1.0,0.0,0.0,7853.7,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,0.0,1.0,0.0,0.0,4707.1,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,89.9,0.0,0.0,0.0,1.0,0.0,0.0,5450.7,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,42.1,0.0,0.0,0.0,0.0,0.0,0.0,2962.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,54.4,0.0,0.0,1.0,1.0,0.0,0.0,957.1,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,857.25,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,75.3,0.0,0.0,0.0,1.0,0.0,0.0,244.1,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,1.0,1.0,0.0,0.0,3650.35,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,79.2,0.0,0.0,0.0,0.0,0.0,0.0,2497.2,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,20.15,1.0,1.0,0.0,0.0,1.0,1.0,930.9,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,79.85,0.0,0.0,0.0,1.0,0.0,0.0,887.35,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,49.05,0.0,0.0,0.0,0.0,0.0,0.0,49.05,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,20.4,1.0,1.0,1.0,1.0,1.0,1.0,1090.65,0.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,111.6,0.0,0.0,0.0,1.0,0.0,0.0,7099.0,1.0,0.0,1.0,1.0,0.0
0.0,1.0,1.0,0.0,1.0,24.25,1.0,1.0,0.0,1.0,1.0,1.0,1424.6,0.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,64.5,0.0,0.0,0.0,1.0,0.0,0.0,177.4,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,110.5,0.0,0.0,1.0,0.0,0.0,0.0,6139.5,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,55.65,0.0,0.0,1.0,0.0,0.0,0.0,2688.85,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,54.65,0.0,0.0,0.0,0.0,0.0,0.0,482.25,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,74.75,0.0,0.0,0.0,1.0,0.0,0.0,2111.3,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,25.9,1.0,1.0,1.0,1.0,1.0,1.0,1216.6,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,0.0,79.35,0.0,0.0,0.0,1.0,0.0,0.0,79.35,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,50.55,0.0,0.0,0.0,0.0,0.0,0.0,565.35,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,75.15,0.0,0.0,0.0,1.0,0.0,0.0,496.9,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,103.8,0.0,0.0,0.0,1.0,0.0,0.0,4327.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.15,1.0,1.0,0.0,1.0,1.0,1.0,973.35,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,99.3,0.0,0.0,0.0,1.0,0.0,0.0,918.75,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,62.15,0.0,0.0,1.0,1.0,0.0,0.0,2215.45,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,20.65,1.0,1.0,0.0,0.0,1.0,1.0,1057.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,19.95,1.0,1.0,0.0,1.0,1.0,1.0,927.1,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,33.75,0.0,0.0,0.0,0.0,0.0,0.0,1009.25,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,82.05,0.0,0.0,0.0,0.0,0.0,0.0,2570.2,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,74.7,0.0,0.0,0.0,0.0,0.0,0.0,74.7,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,5714.25,0.0,0.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,111.05,0.0,0.0,0.0,1.0,0.0,0.0,7107.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,100.9,0.0,0.0,0.0,1.0,0.0,0.0,7459.05,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,78.95,0.0,0.0,0.0,1.0,0.0,0.0,927.35,1.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,66.85,0.0,0.0,1.0,1.0,0.0,0.0,4748.7,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,21.05,1.0,1.0,0.0,0.0,1.0,1.0,113.85,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0,1107.2,0.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0,0.0,1.0,0.0,0.0,2514.5,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.2,1.0,1.0,0.0,0.0,1.0,1.0,20.2,0.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,19.45,1.0,1.0,0.0,0.0,1.0,1.0,19.45,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,3605.6,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,45.55,0.0,0.0,1.0,0.0,0.0,0.0,3027.25,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,110.0,0.0,0.0,0.0,1.0,0.0,0.0,7611.85,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,100.2,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,104.15,0.0,0.0,1.0,1.0,0.0,0.0,7303.05,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,30.15,0.0,0.0,1.0,0.0,0.0,0.0,927.65,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,94.35,0.0,0.0,1.0,0.0,0.0,0.0,3921.3,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,19.4,1.0,1.0,0.0,0.0,1.0,1.0,1363.25,0.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,96.75,0.0,0.0,0.0,1.0,0.0,0.0,5238.9,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,57.95,0.0,0.0,1.0,0.0,0.0,0.0,3042.25,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,91.65,0.0,0.0,0.0,1.0,0.0,0.0,3954.1,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,76.5,0.0,0.0,0.0,1.0,0.0,0.0,2868.15,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,54.6,0.0,0.0,0.0,1.0,0.0,0.0,3423.5,0.0,0.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,89.85,0.0,0.0,0.0,0.0,0.0,0.0,248.4,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,31.05,0.0,0.0,0.0,0.0,0.0,0.0,1126.35,0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,100.25,0.0,0.0,0.0,1.0,0.0,0.0,1064.65,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.65,1.0,1.0,0.0,0.0,1.0,1.0,835.15,0.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,85.2,0.0,0.0,0.0,1.0,0.0,0.0,2151.6,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,99.8,0.0,0.0,1.0,1.0,0.0,0.0,5515.45,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.7,1.0,1.0,0.0,0.0,1.0,1.0,112.75,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,74.4,0.0,0.0,0.0,1.0,0.0,0.0,229.55,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,350.35,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,20.85,1.0,1.0,0.0,0.0,1.0,1.0,62.9,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,88.95,0.0,0.0,0.0,1.0,0.0,0.0,3027.65,1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,78.05,0.0,0.0,0.0,1.0,0.0,0.0,2135.5,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,23.55,1.0,1.0,0.0,1.0,1.0,1.0,1723.95,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,1.0,19.75,1.0,1.0,0.0,0.0,1.0,1.0,19.75,0.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,56.45,0.0,0.0,1.0,1.0,0.0,0.0,3985.35,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,85.95,0.0,0.0,0.0,1.0,0.0,0.0,1215.65,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,58.6,0.0,0.0,0.0,1.0,0.0,0.0,1502.65,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,50.55,0.0,0.0,0.0,0.0,0.0,0.0,3260.1,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,35.45,0.0,0.0,0.0,1.0,0.0,0.0,35.45,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,44.35,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,25.7,1.0,1.0,0.0,1.0,1.0,1.0,1188.2,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,1778.5,1.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,20.2,1.0,1.0,0.0,0.0,1.0,1.0,1277.75,0.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,19.6,1.0,1.0,0.0,1.0,1.0,1.0,1170.55,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,70.45,0.0,0.0,0.0,1.0,0.0,0.0,70.45,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,88.05,0.0,0.0,0.0,1.0,0.0,0.0,6425.65,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,71.15,0.0,0.0,0.0,0.0,0.0,0.0,563.65,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,101.05,0.0,0.0,0.0,1.0,0.0,0.0,5971.25,1.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,84.3,0.0,0.0,1.0,1.0,0.0,0.0,5289.05,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,23.95,1.0,1.0,0.0,0.0,1.0,1.0,1756.2,0.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0,99.05,0.0,0.0,0.0,1.0,0.0,0.0,6416.7,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,19.6,1.0,1.0,1.0,0.0,1.0,1.0,61.35,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,45.65,0.0,0.0,0.0,1.0,0.0,0.0,45.65,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,64.5,0.0,0.0,1.0,0.0,0.0,0.0,1929.95,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,69.5,0.0,0.0,0.0,1.0,0.0,0.0,1071.4,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,68.55,0.0,0.0,0.0,1.0,0.0,0.0,564.35,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,655.5,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,108.15,0.0,0.0,1.0,1.0,0.0,0.0,7930.55,1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,86.1,0.0,0.0,0.0,0.0,0.0,0.0,5215.25,0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,19.7,1.0,1.0,0.0,0.0,1.0,1.0,113.5,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,80.9,0.0,0.0,0.0,1.0,0.0,0.0,1152.8,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,84.15,0.0,0.0,0.0,1.0,0.0,0.0,1821.95,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,20.15,1.0,1.0,1.0,0.0,1.0,1.0,419.9,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,64.25,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,25.7,1.0,1.0,0.0,0.0,1.0,1.0,251.6,0.0,1.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,764.55,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,1592.35,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,69.7,0.0,0.0,0.0,1.0,0.0,0.0,135.2,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,73.9,0.0,0.0,0.0,1.0,0.0,0.0,3958.25,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0,20.6,1.0,1.0,1.0,0.0,1.0,1.0,233.9,0.0,1.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,19.9,1.0,1.0,0.0,0.0,1.0,1.0,1363.45,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,70.9,0.0,0.0,0.0,1.0,0.0,0.0,273.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,89.05,0.0,0.0,0.0,1.0,0.0,0.0,6254.45,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,45.3,0.0,0.0,0.0,1.0,0.0,0.0,2651.2,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,20.4,1.0,1.0,0.0,0.0,1.0,1.0,321.4,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,84.25,0.0,0.0,1.0,1.0,0.0,0.0,3539.25,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,104.4,0.0,0.0,0.0,1.0,0.0,0.0,242.8,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,81.95,0.0,0.0,0.0,0.0,0.0,0.0,1181.75,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,94.85,0.0,0.0,1.0,1.0,0.0,0.0,5000.2,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,20.55,1.0,1.0,1.0,0.0,1.0,1.0,654.55,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,24.7,1.0,1.0,0.0,0.0,1.0,1.0,780.2,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,74.45,0.0,0.0,0.0,1.0,0.0,0.0,1145.7,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,76.45,0.0,0.0,0.0,0.0,0.0,0.0,503.6,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,105.35,0.0,0.0,0.0,1.0,0.0,0.0,1559.25,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,20.55,1.0,1.0,1.0,1.0,1.0,1.0,1252.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,29.95,0.0,0.0,0.0,0.0,0.0,0.0,29.95,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,45.3,0.0,0.0,0.0,0.0,0.0,0.0,45.3,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,84.5,0.0,0.0,0.0,0.0,0.0,0.0,662.65,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,74.75,0.0,0.0,1.0,0.0,0.0,0.0,2453.3,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,79.25,0.0,0.0,0.0,1.0,0.0,0.0,1111.65,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,24.8,0.0,0.0,0.0,1.0,0.0,0.0,24.8,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,1.0,0.0,0.0,1023.85,0.0,0.0,0.0,0.0,0.0
